Initial,Customer,Department,ER,Email
CG,COGNEX,Product Engineer,Aryu,aryu@gmail.com
CG,COGNEX,Product Engineer,Farhan,farhan@gmail.com
CG,COGNEX,Product Engineer,Jeremy,jeremy@gmail.com
CG,COGNEX,Product Engineer,Jeje,jeje@gmail.com
GE,GEA,Product Engineer,Mikhael,mikhael@gmail.com
GE,GEA,Product Engineer,Fatih,fatih@gmail.com
GE,GEA,Product Engineer,Sasa,sasa@gmail.com
GE,GEA,Product Engineer,Miti,miti@gmail.com
OR,ORBCOMM,Product Engineer,Lulu,lulu@gmail.com
OR,ORBCOMM,Product Engineer,Kiki,kiki@gmail.com
OR,ORBCOMM,Product Engineer,Jolan,jolan@gmail.com
OR,ORBCOMM,Product Engineer,Didit,didit@gmail.com
OR,ORBCOMM,Product Engineer,Noni,noni@gmail.com
LF,LIFE FITNESS,Product Engineer,Kira,kira@gmail.com
LF,LIFE FITNESS,Product Engineer,Juju,juju@gmail.com
LF,LIFE FITNESS,Product Engineer,Koko,koko@gmail.com
LF,LIFE FITNESS,Product Engineer,Wita,wita@gmail.com
CG,COGNEX,Process Engineer (SMT),Arya,arya@gmail.com
CG,COGNEX,Process Engineer (SMT),Farhana,farhana@gmail.com
CG,COGNEX,Process Engineer (SMT),Jeremia,jeremia@gmail.com
CG,COGNEX,Process Engineer (SMT),Jejea,jejea@gmail.com
CG,COGNEX,Process Engineer (SMT),Mikhaela,mikhaela@gmail.com
CG,COGNEX,Process Engineer (SMT),Fatiha,fatiha@gmail.com
GE,GEA,Process Engineer (SMT),Misel,misel@gmail.com
GE,GEA,Process Engineer (SMT),Poli,poli@gmail.com
GE,GEA,Process Engineer (SMT),Kuki,kuki@gmail.com
GE,GEA,Process Engineer (SMT),Jojon,jojon@gmail.com
GE,GEA,Process Engineer (SMT),Hugo,hugo@gmail.com
GE,GEA,Process Engineer (SMT),Goji,goji@gmail.com
OR,ORBCOMM,Process Engineer (SMT),Roti,roti@gmail.com
OR,ORBCOMM,Process Engineer (SMT),Fufu,fufu@gmail.com
OR,ORBCOMM,Process Engineer (SMT),Bubu,bubu@gmail.com
OR,ORBCOMM,Process Engineer (SMT),Sida,sida@gmail.com
OR,ORBCOMM,Process Engineer (SMT),Saro,saro@gmail.com
OR,ORBCOMM,Process Engineer (SMT),Wopi,wopi@gmail.com
LF,LIFE FITNESS,Process Engineer (SMT),Lopi,lopi@gmail.com
LF,LIFE FITNESS,Process Engineer (SMT),Lilo,lilo@gmail.com
LF,LIFE FITNESS,Process Engineer (SMT),Mona,mona@gmail.com
LF,LIFE FITNESS,Process Engineer (SMT),Luta,luta@gmail.com
LF,LIFE FITNESS,Process Engineer (SMT),Jio,jio@gmail.com
LF,LIFE FITNESS,Process Engineer (SMT),Hiko,hiko@gmail.com
CG,COGNEX,Process Engineer (Back End),Smith,smith@gmail.com
CG,COGNEX,Process Engineer (Back End),Jordan,jordan@gmail.com
CG,COGNEX,Process Engineer (Back End),Brown,brown@gmail.com
CG,COGNEX,Process Engineer (Back End),Jones,jones@gmail.com
GE,GEA,Process Engineer (Back End),Miller,miller@gmail.com
GE,GEA,Process Engineer (Back End),Davis,davis@gmail.com
GE,GEA,Process Engineer (Back End),Garcia,garcia@gmail.com
GE,GEA,Process Engineer (Back End),Wilson,wilson@gmail.com
OR,ORBCOMM,Process Engineer (Back End),Taylor,taylor@gmail.com
OR,ORBCOMM,Process Engineer (Back End),Clark,clark@gmail.com
OR,ORBCOMM,Process Engineer (Back End),White,white@gmail.com
OR,ORBCOMM,Process Engineer (Back End),Harris,harris@gmail.com
OR,ORBCOMM,Process Engineer (Back End),Martin,martin@gmail.com
LF,LIFE FITNESS,Process Engineer (Back End),Moore,moore@gmail.com
LF,LIFE FITNESS,Process Engineer (Back End),Young,young@gmail.com
LF,LIFE FITNESS,Process Engineer (Back End),King,king@gmail.com
LF,LIFE FITNESS,Process Engineer (Back End),Wright,wright@gmail.com
CG,COGNEX,Test Engineer (FCT),Scott,scott@gmail.com
CG,COGNEX,Test Engineer (FCT),Green,green@gmail.com
CG,COGNEX,Test Engineer (FCT),Baker,baker@gmail.com
CG,COGNEX,Test Engineer (FCT),Adams,adams@gmail.com
GE,GEA,Test Engineer (FCT),Nelson,nelson@gmail.com
GE,GEA,Test Engineer (FCT),Hill,hill@gmail.com
GE,GEA,Test Engineer (FCT),Allen,allen@gmail.com
GE,GEA,Test Engineer (FCT),Hall,hall@gmail.com
OR,ORBCOMM,Test Engineer (FCT),Lewis,lewis@gmail.com
OR,ORBCOMM,Test Engineer (FCT),Lee,lee@gmail.com
OR,ORBCOMM,Test Engineer (FCT),Walker,walker@gmail.com
OR,ORBCOMM,Test Engineer (FCT),Hall,hall@gmail.com
OR,ORBCOMM,Test Engineer (FCT),Young,young@gmail.com
LF,LIFE FITNESS,Test Engineer (FCT),King,king@gmail.com
LF,LIFE FITNESS,Test Engineer (FCT),Wright,wright@gmail.com
LF,LIFE FITNESS,Test Engineer (FCT),Lopez,lopez@gmail.com
LF,LIFE FITNESS,Test Engineer (FCT),Hill,hill@gmail.com
CG,COGNEX,Test Engineer (ICT),Scott,scott@gmail.com
CG,COGNEX,Test Engineer (ICT),Green,green@gmail.com
CG,COGNEX,Test Engineer (ICT),Adams,adams@gmail.com
CG,COGNEX,Test Engineer (ICT),Baker,baker@gmail.com
GE,GEA,Test Engineer (ICT),Evans,evans@gmail.com
GE,GEA,Test Engineer (ICT),Perez,perez@gmail.com
GE,GEA,Test Engineer (ICT),Roberts,roberts@gmail.com
GE,GEA,Test Engineer (ICT),Turner,turner@gmail.com
OR,ORBCOMM,Test Engineer (ICT),Phillips,phillips@gmail.com
OR,ORBCOMM,Test Engineer (ICT),Campbell,campbell@gmail.com
OR,ORBCOMM,Test Engineer (ICT),Parker,parker@gmail.com
OR,ORBCOMM,Test Engineer (ICT),Evans,evans@gmail.com
OR,ORBCOMM,Test Engineer (ICT),Edwards,edwards@gmail.com
LF,LIFE FITNESS,Test Engineer (ICT),Collins,collins@gmail.com
LF,LIFE FITNESS,Test Engineer (ICT),Stewart,stewart@gmail.com
LF,LIFE FITNESS,Test Engineer (ICT),Morris,morris@gmail.com
LF,LIFE FITNESS,Test Engineer (ICT),Rogers,rogers@gmail.com
CG,COGNEX,Production Supervisor (SMT),Ford,ford@gmail.com
CG,COGNEX,Production Supervisor (SMT),Graham,graham@gmail.com
CG,COGNEX,Production Supervisor (SMT),West,west@gmail.com
CG,COGNEX,Production Supervisor (SMT),Cole,cole@gmail.com
GE,GEA,Production Supervisor (SMT),Chase,chase@gmail.com
GE,GEA,Production Supervisor (SMT),Stark,stark@gmail.com
GE,GEA,Production Supervisor (SMT),Rhodes,rhodes@gmail.com
GE,GEA,Production Supervisor (SMT),Beck,beck@gmail.com
OR,ORBCOMM,Production Supervisor (SMT),Reed,reed@gmail.com
OR,ORBCOMM,Production Supervisor (SMT),Knight,knight@gmail.com
OR,ORBCOMM,Production Supervisor (SMT),Vance,vance@gmail.com
OR,ORBCOMM,Production Supervisor (SMT),Holt,holt@gmail.com
OR,ORBCOMM,Production Supervisor (SMT),Kent,kent@gmail.com
LF,LIFE FITNESS,Production Supervisor (SMT),Dean,dean@gmail.com
LF,LIFE FITNESS,Production Supervisor (SMT),Grant,grant@gmail.com
LF,LIFE FITNESS,Production Supervisor (SMT),Ross,ross@gmail.com
LF,LIFE FITNESS,Production Supervisor (SMT),Blair,blair@gmail.com
CG,COGNEX,Production Supervisor (Back End),Miles,miles@gmail.com
CG,COGNEX,Production Supervisor (Back End),Brooks,brooks@gmail.com
CG,COGNEX,Production Supervisor (Back End),Hayes,hayes@gmail.com
CG,COGNEX,Production Supervisor (Back End),Wells,wells@gmail.com
GE,GEA,Production Supervisor (Back End),Frost,frost@gmail.com
